Term,estimate,se,tval,df,pval,ci.lb,ci.ub
Na•ve ,,,,,,,
Overall  ,0.1822,0.0681,2.6753,181.0000,0.0082,0.0478,0.3166
Behaviour_ ype,,,,,,,
Vigilance,-0.3504,0.2359,-1.4854,175.0000,0.1392,-0.8159,0.1152
Sociality ,0.7985,0.3782,2.1109,175.0000,0.0362,0.0519,1.5450
Neophobia,0.0202,0.2502,0.0809,175.0000,0.9356,-0.4735,0.5140
Foraging,0.3471,0.1573,2.2067,175.0000,0.0286,0.0367,0.6576
Exploration ,0.0115,0.2047,0.0560,175.0000,0.9554,-0.3925,0.4154
Emergence,0.2315,0.1378,1.6806,175.0000,0.0946,-0.0404,0.5034
Activity,0.2222,0.0880,2.5260,175.0000,0.0124,0.0486,0.3958
Sex,,,,,,,
Female,0.0510,0.1457,0.3499,179.0000,0.7268,-0.2365,0.3384
Male,0.1305,0.1585,0.8237,179.0000,0.4112,-0.1822,0.4432
Mixed,0.2230,0.0760,2.9335,179.0000,0.0038,0.0730,0.3730
Class ,,,,,,,
Reptiles,-0.2074,0.2991,-0.6934,175.0000,0.4890,-0.7976,0.3829
Ray-finned fishes,0.1682,0.1101,1.5269,175.0000,0.1286,-0.0492,0.3856
Mammals,0.1648,0.1634,1.0086,175.0000,0.3145,-0.1576,0.4872
Crustaceans,-0.0037,0.2794,-0.0132,175.0000,0.9895,-0.5552,0.5478
Cartilaginous fishes,-0.0941,0.3443,-0.2733,175.0000,0.7849,-0.7737,0.5855
Birds,0.5082,0.4702,1.0807,175.0000,0.2813,-0.4199,1.4362
Amphibians,0.3554,0.1299,2.7356,175.0000,0.0069,0.0990,0.6117
Real predator used,,,,,,,
No,-0.0385,0.1494,-0.2576,180.0000,0.7970,-0.3333,0.2563
Yes,0.2262,0.0714,3.1684,180.0000,0.0018,0.0853,0.3671
Low or no predation as control,,,,,,,
Low  ,0.2217,0.1074,2.0633,180.0000,0.0405,0.0097,0.4337
No ,0.1562,0.0838,1.8635,180.0000,0.0640,-0.0092,0.3216
Adult or Juveniles,,,,,,,
Adult,0.0411,0.1003,0.4103,179.0000,0.6821,-0.1567,0.2390
Juvenille,0.2960,0.0973,3.0420,179.0000,0.0027,0.1040,0.4880
Both,0.2838,0.1833,1.5483,179.0000,0.1233,-0.0779,0.6454
Comparison type,,,,,,,
Captive vs captive,0.2332,0.0920,2.5362,179.0000,0.0121,0.0518,0.4147
Wild vs captive,0.0411,0.3300,0.1244,179.0000,0.9011,-0.6101,0.6922
Wild vs wild,0.1441,0.0940,1.5334,179.0000,0.1269,-0.0413,0.3295
Predation location,,,,,,,
Captive  ,0.2428,0.0903,2.6903,180.0000,0.0078,0.0647,0.4209
Wild,0.1245,0.0936,1.3304,180.0000,0.1851,-0.0602,0.3092
