"","estimate","se","tval","df","pval","ci.lb","ci.ub","term"
"intrcpt",-0.223520352580425,0.0700160280380392,-3.19241692000849,216,0.00162124834260457,-0.361522467003475,-0.0855182381573755,"intrcpt"
"Behaviour_typeVigilance",-0.609585356414738,0.220822976659587,-2.76051598269347,210,0.00628160370609264,-1.04489916522158,-0.1742715476079,"Behaviour_typeVigilance"
"Behaviour_typeSociality ",-0.314099160744618,0.283540596309254,-1.10777491771243,210,0.269226225081029,-0.873049768140048,0.244851446650812,"Behaviour_typeSociality "
"Behaviour_typeNeophobia",-0.71667833786049,0.205173184350603,-3.49304096502114,210,0.000582225806838702,-1.12114132307952,-0.312215352641463,"Behaviour_typeNeophobia"
"Behaviour_typeForaging",-0.524464484917849,0.150246848653627,-3.49068542613448,210,0.000587096303208407,-0.820649822775423,-0.228279147060276,"Behaviour_typeForaging"
"Behaviour_typeExploration ",-0.344096733870828,0.137516600669182,-2.50221960255262,210,0.013104519503939,-0.615186618252529,-0.0730068494891271,"Behaviour_typeExploration "
"Behaviour_typeEmergence",-0.2509946768989,0.12174103175606,-2.06170978903673,210,0.0404666918823183,-0.490985791154645,-0.0110035626431555,"Behaviour_typeEmergence"
"Behaviour_typeActivity",-0.485339203024685,0.08238142953992,-5.89136660695481,210,1.50567407796911e-08,-0.647739757579557,-0.322938648469812,"Behaviour_typeActivity"
"SexFemale",-0.292280439312712,0.122496750086872,-2.38602607094011,212,0.0179111927476845,-0.533748117065765,-0.0508127615596598,"SexFemale"
"SexMale",-0.425783328273227,0.131434229325104,-3.23951629997424,212,0.00139004957212024,-0.684868717149975,-0.166697939396479,"SexMale"
"SexMixed",-0.498948378086635,0.0698500431650863,-7.14313628851168,212,1.43989262825279e-11,-0.636637971500848,-0.361258784672422,"SexMixed"
"ClassReptiles",-0.0708014246355553,0.23768516252119,-0.29787902570167,210,0.766089990082067,-0.539356078499648,0.397753229228537,"ClassReptiles"
"ClassRay-finned fishes",-0.364933770752137,0.0734866702284132,-4.96598593483472,210,1.41343675234065e-06,-0.509799865746304,-0.220067675757969,"ClassRay-finned fishes"
"ClassMammals",-0.504870583873483,0.1415096461912,-3.56774677530696,210,0.000446042930142143,-0.783832057893288,-0.225909109853679,"ClassMammals"
"ClassCrustaceans",-0.305367607054039,0.244685615171067,-1.24799983374808,210,0.213420845377051,-0.787722426790759,0.176987212682681,"ClassCrustaceans"
"ClassCartilaginous fishes",-0.16634111412998,0.26955988109597,-0.617084090754433,210,0.537847736804005,-0.69773119099819,0.36504896273823,"ClassCartilaginous fishes"
"ClassBirds",-0.201976522617633,0.338731208019963,-0.596273735149108,210,0.551634561674499,-0.869725751232651,0.465772705997385,"ClassBirds"
"ClassAmphibians",-0.75894815519101,0.109061277522879,-6.95891495523513,210,4.2963893997286e-11,-0.973943355554652,-0.543952954827367,"ClassAmphibians"
"Predation_pressureLab",-0.513550053762922,0.0834729598588093,-6.15229236667261,215,3.68244511778838e-09,-0.678080192744123,-0.34901991478172,"Predation_pressureLab"
"Predation_pressureWild",-0.376926523197121,0.0777603287858838,-4.84728561571547,215,2.39679239268219e-06,-0.530196728590648,-0.223656317803593,"Predation_pressureWild"
"Low_or_no_predLow",-0.451777231665474,0.0921003827904689,-4.90526985857681,215,1.83981749447244e-06,-0.633312531316628,-0.270241932014319,"Low_or_no_predLow"
"Low_or_no_predNo",-0.432296601495679,0.0745110497958201,-5.80177842991456,215,2.32740945637049e-08,-0.579162285895484,-0.285430917095873,"Low_or_no_predNo"
"AdultAdult",-0.360108625689826,0.0770212340184872,-4.67544606729347,214,5.19019336373339e-06,-0.511926047142709,-0.208291204236943,"AdultAdult"
"AdultJuvenille",-0.568393477998744,0.0913661482901913,-6.22105110739099,214,2.56105427938976e-09,-0.748486321462783,-0.388300634534704,"AdultJuvenille"
"AdultBoth",-0.394515132276449,0.169694830890991,-2.32485061686928,214,0.0210171215458517,-0.729002523812782,-0.0600277407401156,"AdultBoth"
"Real_predator0",-0.364947664356291,0.13300888914708,-2.74378401847063,215,0.00658650225244945,-0.627116048634506,-0.102779280078075,"Real_predator0"
"Real_predator1",-0.457489948433835,0.0638559754311311,-7.16440310158976,215,1.22867344909878e-11,-0.583353851310108,-0.331626045557562,"Real_predator1"
"Comparison_typeCC",-0.507445076624005,0.0851638556186955,-5.95845588410171,214,1.03605178560959e-08,-0.675312511179943,-0.339577642068068,"Comparison_typeCC"
"Comparison_typeWC",0.033455593254049,0.325094198560237,0.102910459190646,214,0.918130407081745,-0.607341241328738,0.674252427836836,"Comparison_typeWC"
"Comparison_typeWW",-0.411320419992081,0.0782575574126254,-5.25598336558511,214,3.55450986821302e-07,-0.565574772405261,-0.257066067578901,"Comparison_typeWW"
"intrcpt1",-0.398951601284681,0.0618909269030274,-6.44604340648785,181,1.0106134207872e-09,-0.521072119549148,-0.276831083020215,"intrcpt1"
