Term,estimate,se,tval,df,pval,ci.lb,ci.ub
Na•ve model,0.1555,0.0594,2.6177,181.0000,0.0096,0.0383,0.2727
Behaviour_type,,,,,,,
Vigilance,-0.2626,0.2117,-1.2405,175.0000,0.2164,-0.6803,0.1552
Shoaling,0.7461,0.3506,2.1282,175.0000,0.0347,0.0542,1.4380
Neophobia,-0.0084,0.2295,-0.0367,175.0000,0.9708,-0.4614,0.4446
Foraging,0.2487,0.1439,1.7281,175.0000,0.0857,-0.0353,0.5328
Exploration ,0.0169,0.1708,0.0993,175.0000,0.9210,-0.3201,0.3540
Emergence,0.2396,0.1208,1.9842,175.0000,0.0488,0.0013,0.4780
Activity,0.1696,0.0811,2.0911,175.0000,0.0380,0.0095,0.3297
Sex,,,,,,,
Female,0.0605,0.1332,0.4539,179.0000,0.6505,-0.2024,0.3233
Male,0.1902,0.1397,1.3612,179.0000,0.1752,-0.0855,0.4658
Mixed,0.1723,0.0728,2.3650,179.0000,0.0191,0.0285,0.3160
Class,,,,,,,
Reptiles,-0.2244,0.2539,-0.8836,175.0000,0.3781,-0.7256,0.2768
Ray-finned fishes,0.1702,0.0874,1.9485,175.0000,0.0530,-0.0022,0.3427
Mammals,0.1072,0.1517,0.7065,175.0000,0.4808,-0.1923,0.4066
Crustaceans,-0.0035,0.2551,-0.0136,175.0000,0.9891,-0.5069,0.5000
Cartilaginous fishes,-0.0530,0.2577,-0.2058,175.0000,0.8372,-0.5615,0.4555
Birds,0.5083,0.4200,1.2102,175.0000,0.2278,-0.3206,1.3372
Amphibians,0.3243,0.1314,2.4682,175.0000,0.0145,0.0650,0.5837
,,,,,,,
Real_predator0,-0.0121,0.1366,-0.0886,180.0000,0.9295,-0.2816,0.2574
Real_predator1,0.1940,0.0648,2.9926,180.0000,0.0032,0.0661,0.3219
Control type,,,,,,,
Low,0.2021,0.0958,2.1083,180.0000,0.0364,0.0129,0.3912
No,0.1266,0.0756,1.6741,180.0000,0.0958,-0.0226,0.2758
Adult vs Juvenille,,,,,,,
Adult,0.0489,0.0830,0.5891,179.0000,0.5566,-0.1149,0.2128
Both,0.3231,0.1776,1.8194,179.0000,0.0705,-0.0273,0.6736
Juvenille,0.2445,0.0922,2.6533,179.0000,0.0087,0.0627,0.4264
Comparison type,,,,,,,
Captive vs captive,0.1890,0.0905,2.0892,179.0000,0.0381,0.0105,0.3676
Wild vs captive ,-0.0115,0.3131,-0.0367,179.0000,0.9708,-0.6294,0.6064
Wild vs wild,0.1385,0.0833,1.6630,179.0000,0.0981,-0.0258,0.3029
